key;accepted;kingdom;scientificName;speciesKey
10412256;NA;Plantae;Duranta mandonii x armata;10412256
10412323;NA;Plantae;Juncus acutiflorus x alpinoarticulatus;10412323
10018313;Juncus alpinoarticulatus subsp. alpinoarticulatus × articulatus;Plantae;Juncus alpinoarticulatus subsp. alpinoarticulatus x articulatus;10413477
10269842;Juncus alpinoarticulatus subsp. alpinoarticulatus × articulatus;Plantae;Juncus alpinoarticulatus ssp. alpinoarticulatus x articulatus;10413477
10413477;NA;Plantae;Juncus alpinoarticulatus subsp. alpinoarticulatus × articulatus;10413477
10658772;Juncus alpinoarticulatus subsp. alpinoarticulatus × articulatus;Plantae;Juncus alpinoarticulatus ssp. alpinoarticulatus × articulatus;10413477
10413788;NA;Plantae;Carex acutiformis x flacca;10413788
10414332;NA;Plantae;Aconitum pilipes x variegatum;10414332
10267852;Puccinellia distans × maritima;Plantae;Puccinellia distans x maritima;10415477
10415477;NA;Plantae;Puccinellia distans × maritima;10415477
10415859;NA;Plantae;Ophrys bertolonii x Ophrys passionis;10415859
10417072;NA;Plantae;Carduus crispus subsp. crispus x nutans subsp. nutans;10417072
10417470;NA;Plantae;Carduus crispus subsp. crispus x defloratus;10417470
10417854;NA;Plantae;Asplenium trichomanes x fontanum;10417854
10417981;NA;Plantae;Orthotrichum anomalum x stramineum;10417981
10418617;NA;Plantae;Lycopodium alpinum × complanatum;10418617
10418635;NA;Plantae;Dryopteris clintoniana x spinulosa;10418635
9869786;Puccinellia capillaris × maritima;Plantae;Puccinellia capillaris x maritima;10419077
10419077;NA;Plantae;Puccinellia capillaris × maritima;10419077
10419120;NA;Plantae;Polystichum lobatum x braunii;10419120
10419467;NA;Plantae;Salvia nemorosa x officinalis;10419467
10419542;NA;Plantae;Salix purpurea x triandra x viminalis;10419542
10420075;NA;Plantae;Rosa arvensis × sempervirens;10420075
