verbatim;parent;type;edited;source
Cistus gardianus;Cistus crispus;name;Cistus gardianus;wikidata
Cistus fernandesiae;Cistus crispus;name;Cistus fernandesiae;wikidata
Cistus ×crispatus;Cistus crispus;name;Cistus ×crispatus;wikidata
Cistus heterocalyx;Cistus libanotis;name;Cistus heterocalyx;wikidata
Cistus ×lepidocalyx;Cistus libanotis;name;Cistus ×lepidocalyx;wikidata
Cistus ×glaucifolius;Cistus osbeckiifolius;name;Cistus ×glaucifolius;wikidata
Cistus ×penarcleusensis;Cistus osbeckiifolius;name;Cistus ×penarcleusensis;wikidata
Isoëtes michinokuana;Isoëtes japonica;name;Isoëtes michinokuana;wikidata
Isoëtes carltaylori;Isoetes engelmannii;name;Isoëtes carltaylori;wikidata
Anacamptis ×gennarii;Anacamptis papilionacea;name;Anacamptis ×gennarii;wikidata
Platanthera ×correllii;Platanthera stricta;name;Platanthera ×correllii;wikidata
Oxalis × vanaelstii;Oxalis dillenii;name;Oxalis ×vanaelstii;wikidata
Rumex ×cacozelus;Rumex stenophyllus;name;Rumex ×cacozelus;wikidata
Salix ×tsugaluensis;Salix vulpina;name;Salix ×tsugaluensis;wikidata
Saxifraga ×fontqueri;Saxifraga globulifera;name;Saxifraga ×fontqueri;wikidata
Hylotelephium furusei;Hylotelephium erythrostictum;name;Hylotelephium furusei;wikidata
Begonia ×buimontana;Begonia taiwaniana;name;Begonia ×buimontana;wikidata
Cistus matritensis;Cistus clusii;name;Cistus matritensis;wikidata
Cistus aguilari;Cistus populifolius;name;Cistus aguilari;wikidata
Cistus laxus;Cistus populifolius;name;Cistus laxus;wikidata
Cistus nigricans;Cistus populifolius;name;Cistus nigricans;wikidata
Cistus hybridus;Cistus populifolius;name;Cistus hybridus;wikidata
Cistus clausonii;Cistus heterophyllus;name;Cistus clausonii;wikidata
Cistus ultraviolaceus;Cistus heterophyllus;name;Cistus ultraviolaceus;wikidata
Cistus strigosus;Cistus heterophyllus;name;Cistus strigosus;wikidata
Cistus reghaiensis;Cistus heterophyllus;name;Cistus reghaiensis;wikidata
Cistus olivaceus;Cistus heterophyllus;name;Cistus olivaceus;wikidata
Cistus curvativus;Cistus heterophyllus;name;Cistus curvativus;wikidata
Cistus ×escartianus;Cistus heterophyllus;name;Cistus ×escartianus;wikidata
Cistus ×tephreus;Cistus heterophyllus;name;Cistus ×tephreus;wikidata
Convolvulus × despreauxii;Convolvulus scoparius;name;Convolvulus ×despreauxii;wikidata
Helianthus ×multiflorus;Helianthus decapetalus;name;Helianthus ×multiflorus;wikidata
Acalypha ×koraensis;Acalypha crenata;name;Acalypha ×koraensis;wikidata
Disa ×vogelpoelii;Disa ferruginea;name;Disa ×vogelpoelii;wikidata
Ilex ×altaclerensis;Ilex perado;name;Ilex ×altaclerensis;wikidata
Amaranthus × budensis;Amaranthus blitum var. blitum;name;Amaranthus ×budensis;wikidata
Potentilla polyjosephiana;Potentilla polyphylla;name;Potentilla polyjosephiana;wikidata
Cyclosorus ×kumaunicus;Cyclosorus aridus;name;Cyclosorus ×kumaunicus;wikidata
Cyclosorus ×gorkhalensis;Cyclosorus aridus;name;Cyclosorus ×gorkhalensis;wikidata
Pseudophegopteris ×kashmiriana;Pseudophegopteris levingei;name;Pseudophegopteris ×kashmiriana;wikidata
Sagittaria ×lunata;Sagittaria natans;name;Sagittaria ×lunata;wikidata
Cyclosorus ×inexspectatus;Cyclosorus dentatus;name;Cyclosorus ×inexspectatus;wikidata
Cyclosorus ×linii;Cyclosorus dentatus;name;Cyclosorus ×linii;wikidata
Cyclosorus ×jaculodentatus;Cyclosorus dentatus;name;Cyclosorus ×jaculodentatus;wikidata
Cyclosorus ×nareshii;Cyclosorus dentatus;name;Cyclosorus ×nareshii;wikidata
Cyclosorus ×nepalensis;Cyclosorus dentatus;name;Cyclosorus ×nepalensis;wikidata
Begonia ×buimontana;Begonia palmata;name;Begonia ×buimontana;wikidata
Carex x takoensis;Carex rugulosa;name;Carex x takoensis;wikidata
Cyclosorus ×jaculodentatus;Cyclosorus jaculosus;name;Cyclosorus ×jaculodentatus;wikidata
Cyclosorus ×inexspectatus;Cyclosorus evolutus;name;Cyclosorus ×inexspectatus;wikidata
Anthurium ferrierense;Anthurium nymphaeifolium;name;Anthurium ferrierense;wikidata
Cistus reghaiensis;Cistus florentinus;name;Cistus reghaiensis;wikidata
Cistus microcymosus;Cistus obtusifolius;name;Cistus microcymosus;wikidata
Cistus strigosus;Cistus chinamadensis;name;Cistus strigosus;wikidata
Cistus olivaceus;Cistus chinamadensis;name;Cistus olivaceus;wikidata
Cistus ×chnoodophyllus;Cistus chinamadensis;name;Cistus ×chnoodophyllus;wikidata
Cistus ×lucasii;Cistus chinamadensis;name;Cistus ×lucasii;wikidata
Cistus ×penarcleusensis;Cistus chinamadensis;name;Cistus ×penarcleusensis;wikidata
