verbatim;source;edited;type;edited2;usageKey;acceptedUsageKey;parent1;parent2;parent1_usageKey;parent1_acceptedUsageKey;parent2_usageKey;parent2_acceptedUsageKey
Salix purpurea × triandra;florkart;Salix purpurea × triandra;formula;Salix purpurea × triandra;10602410;10602410;Salix purpurea;Salix triandra;5372800;5372800;7103891;7103891
Salix fragilis × purpurea;florkart;Salix fragilis × purpurea;formula;Salix fragilis × purpurea;9944871;9944871;Salix fragilis;Salix purpurea;5372829;5372829;5372800;5372800
Salix myrsinifolia × purpurea;florkart;Salix myrsinifolia × purpurea;formula;Salix myrsinifolia × purpurea;10041795;10041795;Salix myrsinifolia;Salix purpurea;5372875;5372875;5372800;5372800
Salix myrtilloides × repens;florkart;Salix myrtilloides × repens;formula;Salix myrtilloides × repens;10281930;10281930;Salix myrtilloides;Salix repens;7482782;7482782;9148812;9148812
Salix aurita × myrtilloides;florkart;Salix aurita × myrtilloides;formula;Salix aurita × myrtilloides;9681155;9681155;Salix aurita;Salix myrtilloides;5372876;5372876;7482782;7482782
Salix × pendulina Wender.;florkart;Salix × pendulina Wender.;name;Salix ×pendulina Wender.;5372638;5372638;NA;NA;NA;NA;NA;NA
Salix pentandra × viminalis;florkart;Salix pentandra × viminalis;formula;Salix pentandra × viminalis;NA;NA;Salix pentandra;Salix viminalis;5372647;5372647;5372933;5372933
Salix cinerea × purpurea;florkart;Salix cinerea × purpurea;formula;Salix cinerea × purpurea;10611439;10611439;Salix cinerea;Salix purpurea;5372605;5372605;5372800;5372800
Salix caprea × cinerea;florkart;Salix caprea × cinerea;formula;Salix caprea × cinerea;10491133;10491133;Salix caprea;Salix cinerea;5372952;5372952;5372605;5372605
Salix fragilis × triandra;florkart;Salix fragilis × triandra;formula;Salix fragilis × triandra;10074792;7679524;Salix fragilis;Salix triandra;5372829;5372829;7103891;7103891
Salix alba × triandra;florkart;Salix alba × triandra;formula;Salix alba × triandra;10002404;10002404;Salix alba;Salix triandra;5372513;5372513;7103891;7103891
Salix caprea × purpurea;florkart;Salix caprea × purpurea;formula;Salix caprea × purpurea;9869332;9869332;Salix caprea;Salix purpurea;5372952;5372952;5372800;5372800
Sambucus nigra × racemosa;florkart;Sambucus nigra × racemosa;formula;Sambucus nigra × racemosa;9663159;9663159;Sambucus nigra;Sambucus racemosa;2888728;2888728;2888723;2888723
Saxifraga cotyledon × hostii;florkart;Saxifraga cotyledon × hostii;formula;Saxifraga cotyledon × hostii;NA;NA;Saxifraga cotyledon;Saxifraga hostii;3753330;3753330;3755568;3755568
Saxifraga × geum L.;florkart;Saxifraga × geum L.;name;Saxifraga ×geum L.;8223023;8223023;NA;NA;NA;NA;NA;NA
Saxifraga granulata × rosacea;florkart;Saxifraga granulata × rosacea;formula;Saxifraga granulata × rosacea;9937666;9937666;Saxifraga granulata;Saxifraga rosacea;7887000;7887000;3032758;3032758
